Wall time,Step,Value
1728988119.0054593,40000,0.15228725969791412
1728988188.1540897,50000,0.18625760078430176
1728988559.068004,110000,-0.9180353879928589
1728988795.4353266,150000,-0.9174744486808777
1728988854.8972242,160000,-0.9063349366188049
1728989032.9579344,190000,-0.8914828896522522
1728989091.4422655,200000,-0.9174624681472778
1728989150.6281483,210000,-0.9039496183395386
1728989270.5149417,230000,-0.9173220992088318
1728989330.3214664,240000,-0.9118415117263794
1728989510.8616064,270000,-0.8947919607162476
1728989570.4993932,280000,-0.9142959713935852
1728990224.627643,390000,-0.8912935853004456
1728990343.281225,410000,-0.8957616686820984
1728990761.2724493,480000,-0.9054985046386719
1728990819.493575,490000,-0.89633709192276
1728990878.6105242,500000,-0.881364107131958
1728990997.5709834,520000,-0.9336681365966797
1728991175.8708735,550000,-0.9376127123832703
1728991352.9816868,580000,-0.9267730712890625
1728991527.407404,610000,-0.9146478176116943
1728991586.7551975,620000,-0.8860968947410583
1728991644.3321924,630000,-0.9241302013397217
1728991704.1511073,640000,-0.8778752088546753
1728991823.7168121,660000,-0.8989769220352173
1728991882.6607442,670000,-0.9104802012443542
1728991941.3170593,680000,-0.8774385452270508
1728992000.5009222,690000,-0.9201740622520447
1728992118.1136458,710000,-0.904295802116394
1728992176.823022,720000,-0.9152171611785889
1728992533.9438148,780000,-0.9128381609916687
1728992652.5545642,800000,-0.9006488919258118
1728992828.4887743,830000,-0.9187609553337097
1728993005.9488459,860000,-0.9172181487083435
1728993241.278778,900000,-0.8923622369766235
1728993826.15484,1000000,-0.9022440910339355
1728994061.017774,1040000,-0.9104562401771545
1728994236.349858,1070000,-0.9120559096336365
1728994295.155617,1080000,-0.9061970114707947
1728994411.993039,1100000,-0.8922517895698547
1728994824.6137605,1170000,-0.8821531534194946
1728995118.760756,1220000,-0.9243996739387512
1728995355.816197,1260000,-0.9202126264572144
1728995415.775899,1270000,-0.9492711424827576
1728995532.8311155,1290000,-0.8943420648574829
1728995651.1578376,1310000,-0.9111270308494568
1728996004.0496135,1370000,-0.8979042768478394
1728996064.0029738,1380000,-0.86649090051651
1728996479.0800118,1450000,-0.9002085328102112
1728996601.7305381,1470000,-0.9092118144035339
1728996661.897218,1480000,-0.8892704844474792
1728996839.7116766,1510000,-0.921538233757019
1728997255.0917654,1580000,-0.9053429961204529
1728997431.8463285,1610000,-0.911712110042572
1728997551.0904036,1630000,-0.8983416557312012
1728997668.827632,1650000,-0.9280179142951965
1728998026.2332416,1710000,-0.9361737370491028
1728998085.603039,1720000,-0.9028624296188354
1728998144.6329844,1730000,-0.9336891770362854
1728998439.9362361,1780000,-0.9122512936592102
1728998676.036636,1820000,-0.9007541537284851
1728998853.912227,1850000,-0.8803364634513855
1728998913.3865697,1860000,-0.9477114081382751
1728998973.025049,1870000,-0.8851794004440308
1728999206.5535219,1910000,-0.8747807741165161
1728999266.451694,1920000,-0.8940218091011047
1728999326.1372418,1930000,-0.8959449529647827
1728999739.8494735,2000000,-0.9035226702690125
1728999916.5311491,2030000,-0.872965931892395
1728999975.5108984,2040000,-0.9142297506332397
1729000032.8989382,2050000,-0.9349005818367004
1729000090.8961713,2060000,-0.9250531792640686
1729000209.7068493,2080000,-0.9160900115966797
1729000447.3772924,2120000,-0.9150040149688721
1729000565.6261926,2140000,-0.9108930230140686
1729000683.11452,2160000,-0.9172989726066589
1729000920.377203,2200000,-0.9158036708831787
1729000978.4158273,2210000,-0.9269444942474365
1729001037.6144967,2220000,-0.9242563843727112
1729001216.0923817,2250000,-0.9160711169242859
1729001510.1649456,2300000,-0.9248613715171814
1729002101.6356137,2400000,-0.8959352970123291
1729002222.1666653,2420000,-0.8669566512107849
1729002400.3783596,2450000,-0.908655047416687
1729002459.601975,2460000,-0.8703669905662537
1729002518.7368023,2470000,-0.9107044339179993
1729002993.083337,2550000,-0.9041142463684082
1729003228.4700139,2590000,-0.8998922109603882
1729003287.8937926,2600000,-0.9366222023963928
1729003346.7244203,2610000,-0.9219426512718201
1729003997.0296917,2720000,-0.865383505821228
1729004173.580986,2750000,-0.9095779061317444
1729004292.1712306,2770000,-0.9109684228897095
1729004410.0900245,2790000,-0.9108586311340332
1729004527.9082785,2810000,-0.9278758764266968
1729004645.9485905,2830000,-0.8853141069412231
1729004822.6885097,2860000,-0.9017625451087952
1729005002.7496698,2890000,-0.899437427520752
1729005120.7564692,2910000,-0.9078404307365417
1729005415.7920575,2960000,-0.8520943522453308
1729005534.4991293,2980000,-0.9130880832672119
1729005592.9476311,2990000,-0.9228881597518921
1729006063.8987405,3070000,-0.9322470426559448
1729006181.4039094,3090000,-0.9205038547515869
1729006416.1679962,3130000,-0.8572622537612915
1729006653.1748643,3170000,-0.9118829965591431
1729006772.1921232,3190000,-0.9125559329986572
1729006831.6201482,3200000,-0.9519050717353821
1729007009.550617,3230000,-0.9032480716705322
1729007897.1129851,3380000,-0.9360771775245667
1729007955.9335792,3390000,-0.8874168395996094
1729008250.9401512,3440000,-0.9096091985702515
1729008371.7293818,3460000,-0.9014370441436768
1729008432.0504882,3470000,-0.9061031341552734
1729008785.3906066,3530000,-0.9163728356361389
1729008902.404315,3550000,-0.9349196553230286
1729009133.9857981,3590000,-0.880054771900177
1729009371.7478402,3630000,-0.870661199092865
1729009430.704062,3640000,-0.9076958894729614
1729009488.693513,3650000,-0.9111790657043457
1729009547.826388,3660000,-0.900301992893219
1729009607.7098415,3670000,-0.9553960561752319
1729009667.2214646,3680000,-0.8958117961883545
1729010318.5971549,3790000,-0.8999713063240051
1729010790.7587357,3870000,-0.9120055437088013
1729011028.689129,3910000,-0.9255775809288025
1729011145.5683541,3930000,-0.8973249197006226
1729011263.1660795,3950000,-0.8667325377464294
1729011441.5288026,3980000,-0.8900904059410095
1729011738.5181055,4030000,-0.910076916217804
1729011857.7037878,4050000,-0.9185192584991455
1729012152.6912963,4100000,-0.8737543821334839
1729012391.9466093,4140000,-0.8974868059158325
1729012451.6063495,4150000,-0.8825082778930664
1729012510.8293562,4160000,-0.9448423981666565
1729012866.3479652,4220000,-0.908358097076416
1729012926.1235225,4230000,-0.9188998937606812
1729013104.955411,4260000,-0.9300410151481628
1729013163.1742084,4270000,-0.9258372187614441
1729013399.8151212,4310000,-0.8985468149185181
1729013698.7135134,4360000,-0.8946998715400696
1729013758.6434524,4370000,-0.911868691444397
1729013817.4685266,4380000,-0.8892991542816162
1729013936.3853211,4400000,-0.8883152008056641
1729014056.1209035,4420000,-0.8808196187019348
1729014174.6892865,4440000,-0.9145950675010681
1729014233.4348505,4450000,-0.9056304097175598
1729014352.172496,4470000,-0.9154055118560791
1729014582.7424622,4510000,-0.9443309903144836
1729014699.1322951,4530000,-0.8948397040367126
1729014934.6327865,4570000,-0.91877681016922
1729015172.7065938,4610000,-0.8919240832328796
1729015231.4353862,4620000,-0.9457059502601624
1729015467.2836924,4660000,-0.9148118495941162
1729015525.8890586,4670000,-0.9450308680534363
1729015645.9632664,4690000,-0.9267654418945312
1729015765.3256166,4710000,-0.8857991099357605
1729016005.1390293,4750000,-0.92852383852005
1729016064.3967555,4760000,-0.8694722056388855
1729016362.2198262,4810000,-0.9149598479270935
1729016420.8936932,4820000,-0.9131184816360474
1729016599.7596493,4850000,-0.9240207076072693
1729016778.078342,4880000,-0.9104044437408447
1729016836.9445548,4890000,-0.8924567103385925
1729016894.826301,4900000,-0.877208948135376
1729017012.9358087,4920000,-0.9102031588554382
1729017190.0015762,4950000,-0.8962961435317993
1729017427.1649795,4990000,-0.8752959370613098
1729017663.8284454,5030000,-0.8830365538597107
1729017723.1864696,5040000,-0.924355685710907
1729018073.7479296,5100000,-0.9124051332473755
1729018132.7595582,5110000,-0.9097496271133423
1729018191.7084987,5120000,-0.9003665447235107
1729018249.7981565,5130000,-0.9311060905456543
1729018309.5739539,5140000,-0.8701151609420776
1729018369.6354716,5150000,-0.8885011672973633
1729018546.360574,5180000,-0.9283394813537598
1729018605.1246822,5190000,-0.9297547340393066
1729018663.9440446,5200000,-0.9119596481323242
1729019494.8065064,5340000,-0.9577246308326721
1729019553.2652998,5350000,-0.905653178691864
1729019672.1946173,5370000,-0.9195289015769958
1729019730.8405888,5380000,-0.9156361222267151
1729019790.7677958,5390000,-0.8918545246124268
1729019908.6321774,5410000,-0.919249951839447
1729020026.332618,5430000,-0.9025604724884033
1729020145.239325,5450000,-0.9188597798347473
1729020264.1982324,5470000,-0.8791130781173706
1729020323.3117692,5480000,-0.9020991325378418
1729020500.737319,5510000,-0.9111210107803345
1729020618.3914819,5530000,-0.9390411972999573
1729020796.754309,5560000,-0.8599055409431458
1729020855.1922884,5570000,-0.9345465302467346
1729021213.024191,5630000,-0.9045223593711853
1729021270.14237,5640000,-0.9036315679550171
1729021329.3493938,5650000,-0.91224604845047
1729021563.4722283,5690000,-0.9110426306724548
1729021741.0285528,5720000,-0.9076856374740601
1729021858.3312466,5740000,-0.8978729844093323
1729022033.5952015,5770000,-0.907477617263794
1729022269.5252247,5810000,-0.9036309123039246
1729022506.0303023,5850000,-0.8901764750480652
1729022565.0435042,5860000,-0.8863728642463684
1729022741.3446577,5890000,-0.9088207483291626
1729022861.1840684,5910000,-0.9196851253509521
1729022920.2671063,5920000,-0.9280520677566528
1729023097.955278,5950000,-0.9073675870895386
1729023216.0659003,5970000,-0.8898426294326782
